국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,국가 평균
크로아티아,1529.3,1510,1950,1335.4,1628.7,1308.1,1322,1405,1538.6,1596.5,1641.3,1587.5,1556.8,1526.7,1437.4,1504.2,1850.5,1868.3,1921.1,1579.863157894737
체코,1346.2,1459.2,1460.6,1544,1591.9,2356.1,2550.6,2691.5,2857,2742.1,2774,2903.7,3139.2,3237.2,3402.8,3592.1,3516.2,3682,3862.7,2668.8999999999996
덴마크,-,3630.6,4754.9,4618.9,4843.3,5197.4,5298.5,5516.4,6493.9,6657,6739.2,7017.9,7143.3,7071.1,7310.7,7528.3,7846.7,7925,8065.9,6314.388888888889
에스토니아,1905.5,1926.4,2212.3,2197.5,2470.7,2457.1,2603.5,2744.9,2969.2,3228.7,3060.6,3397.6,3462.9,3341,3284.3,3183.2,3295.1,3542.5,3755.3,2896.7526315789473
페로제도,-,-,-,1813.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1813.1
핀란드,-,-,-,-,7821.9,7526.6,7657.2,7361.5,7684.8,7646.3,7720.2,7421.6,7473.7,7206.5,7009.3,6844.5,6531.5,6721.8,6861.1,7299.2333333333345
프랑스,2915.7,2986.9,3117.2,3199.7,3334.2,3313.3,3423.7,3585.8,3659.9,3747.3,3873,3942.4,4073.3,4154.8,4233.6,4307.5,4414.7,4561.1,4715.3,3766.284210526316
독일,3168,3245.8,3260.1,3295.3,3309.6,3335,3434.6,3578.5,3733.3,3922.2,4058,4188.8,4352.3,4366.7,4320.7,4743.8,4861.7,5076.5,5211.9,3971.726315789473
그리스,-,1290.7,-,1393.3,-,1745.5,1779.7,1889.7,-,-,-,2278.5,2300.3,2721.3,2791.9,3256,2769.9,3311.4,3482.7,2385.4538461538464
헝가리,1409.5,1438.8,1471.9,1496.8,1473.5,1574.3,1745,1734.9,1851.9,2014.6,2149.8,2326.2,2416.5,2546.1,2673.4,2589.1,2645.8,2921.5,3237.7,2090.3842105263157
아이슬란드,-,6572.5,-,6657.4,-,7305.3,8006.7,7236,7423.6,7926,-,6981.4,-,5648.4,-,5887.9,-,6130.5,-,6888.7
아일랜드,2251.1,2329.1,2399.2,2522.3,2713.1,2798,2877.1,2935.4,3284.1,3156.9,3112.6,3325.8,4854,5136.5,5304.5,5270.7,5178.2,5401,5243.1,3689.0894736842106
이탈리아,1166.1,1172.8,1245.9,1221.8,1242.7,1415.4,1510.5,1583,1625.3,1723,1743.3,1781.4,1848.6,1930.7,1956.4,2077.9,2204.1,2313.7,2306.8,1687.8631578947368
라트비아,1599.7,1482.6,1479.5,1389.1,1458.6,1457.4,1768.5,1891.2,2012.7,1688.3,1838.7,1885.3,1886.9,1772.7,1854.3,1808.6,1596.5,1784.6,1792.1,1707.752631578947
