아루바,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
바하마,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,125,76,123,114,238,70,192,37,47,52,20,-,-,-,-
바베이도스,-,-,85,6,93,8,123,1,80,1,76,7,44,15,112,-,85,-,79,-,88,-,71,6,36,16,42,9,39,3,45,10,41,26,-,-,-,-,31,-
벨리즈,-,-,-,-,-,-,-,-,16,-,33,-,42,7,48,-,54,-,-,-,-,-,49,2,51,4,32,10,36,28,26,8,37,4,32,4,24,16,32,9
볼리비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,43,303,97,-,75,253,86,336,63,-,-,-,-
브라질,17283,-,17849,3589,16685,4623,16411,-,16713,-,18498,2439,19842,2465,21663,1855,23170,2513,22406,2772,24999,3251,28649,3439,30435,2830,30884,2972,30342,2749,30219,3411,28010,4195,25658,5450,24857,9966,25396,10947
칠레,3120,601,2750,406,2538,457,2405,231,2867,351,3007,311,3215,406,3806,583,3952,1398,1717,1797,1076,1020,2792,1013,3019,770,3072,898,3105,1168,3274,1058,2907,2077,2894,1574,3100,1599,3237,1490
콜롬비아,1769,595,497,363,912,372,1209,291,1441,294,1761,256,2003,223,1990,227,1944,409,1679,-,1872,639,1953,617,2061,1667,2032,2264,2158,1212,2242,1003,2203,917,2372,1164,2223,1271,2157,1630
코스타리카,75,12,212,28,243,26,271,6,320,14,440,13,593,6,667,13,798,46,523,35,614,34,623,35,587,66,598,100,544,111,599,125,506,68,523,189,498,166,499,191
쿠바,-,-,-,-,-,-,-,-,-,110,285,64,257,73,284,70,258,92,231,140,-,-,246,154,178,84,170,125,150,94,-,-,195,93,174,74,155,93,115,89
도미니카연방,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,3,-,4,-,-,-
도미니카공화국,68,-,157,-,183,-,202,-,205,-,225,-,295,-,145,-,53,94,255,273,343,91,333,71,284,114,268,68,260,129,252,155,270,100,271,127,228,95,243,158
에콰도르,551,42,263,31,114,21,422,41,503,24,591,38,759,40,798,33,849,64,674,64,694,28,-,-,-,-,482,13,382,20,495,14,374,10,417,17,405,10,437,17
엘살바도르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217,33,183,48,187,77,203,35,175,40,182,24,139,36,148,117
그레나다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,33,-,17,-,9,9,17,14,-,-,-,-,-,-
과테말라,304,96,315,22,301,147,302,75,275,124,405,104,528,-,108,110,311,96,329,191,381,104,331,39,344,86,323,65,298,105,348,51,269,52,278,50,234,30,238,50
가이아나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,16,-,20,1,13,-,18,10,23,21,20,6,-,-
아이티,-,-,-,19,-,15,-,10,-,13,-,11,-,30,-,37,-,24,-,24,10,10,14,35,17,-,11,-,21,-,-,-,-,-,-,-,-,-,-,-
온두라스,139,63,162,238,168,47,-,173,-,16,275,85,233,11,127,30,330,31,256,46,307,81,255,151,241,136,217,132,220,94,228,69,195,53,193,54,156,88,187,85
자메이카,101,20,76,69,69,69,50,72,72,-,69,-,153,43,163,-,136,-,127,-,156,-,113,48,107,20,119,42,155,28,70,74,78,5,68,2,79,2,65,1
니카라과,143,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,61,176,68,127,72,146,62,-,-,-,-,-,-,-,-,-,-
