국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,국가 평균
알제리,159,145,334,326,392,524,669,849,-,-,806,897,900,840,813,805,672,743,673,638,621
앙골라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,110,115
보츠와나,-,-,-,-,-,-,-,-,-,-,-,9,14,9,9,8,7,7,3,2,8
부르키나파소,2,-,-,1,2,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2
카보베르데,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,4,1,2
코트디부아르,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,27
지부티,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,-,-,-,4
이집트,1615,1387,1415,1119,694,1436,1966,2105,2130,1942,2230,2209,2211,2057,2136,2055,2178,2279,2255,2183,1880
에티오피아,12,15,13,9,4,5,10,37,-,-,-,38,14,25,24,50,36,53,62,-,25
감비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,-,16,6
가나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,26,52,-,36
케냐,-,-,72,95,84,93,82,132,152,171,197,257,259,241,207,193,203,178,286,335,180
마다가스카르,55,38,29,23,38,42,44,76,77,44,43,61,44,51,34,19,36,51,46,30,44
말라위,20,-,-,-,-,1,-,-,-,-,1,3,4,4,5,6,4,-,-,-,5
말리,-,4,4,-,-,4,1,3,1,8,1,-,-,-,-,-,-,-,-,-,3
모리셔스,-,-,-,-,-,-,-,21,24,20,16,20,18,20,21,21,38,19,29,27,23
모로코,104,-,528,-,561,660,910,932,1011,991,1034,1049,1040,1144,1097,1021,1303,2224,2537,2730,1160
모잠비크,8,1,9,16,4,14,18,44,16,24,40,23,40,43,60,54,40,50,47,47,30
나미비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,32,25,36,20,27
나이지리아,-,-,-,-,-,-,-,-,-,-,-,811,718,919,-,-,235,280,338,-,550
