국가별,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2009,2009,2009,2009,2009,2009,2012,2012,2012,2012,2012,2012,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2018,2018
국가별,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자
러시아,-,-,-,-,443,481,473,463,-,-,428,456,-,-,-,-,-,-,469,467,477,480,437,482,481,483,484,489,455,495,497,491,489,485,481,507,490,485,477,478,466,491
슬로바키아,-,-,-,-,-,-,507,489,-,-,453,486,499,485,491,485,446,488,498,495,490,491,452,503,486,477,475,467,444,483,478,472,460,461,435,471,488,484,461,467,441,475
슬로베니아,-,-,-,-,-,-,-,-,-,-,-,-,507,502,515,523,467,521,502,501,505,519,456,511,503,499,510,519,454,510,512,508,510,516,484,528,509,509,502,512,475,517
스페인,-,-,-,-,481,505,490,481,-,-,461,500,484,476,491,486,443,479,493,474,492,485,467,496,492,476,500,493,474,503,494,478,496,489,485,506,485,478,484,482,-,-
스웨덴,-,-,-,-,499,536,512,506,-,-,496,533,505,500,504,503,488,528,493,495,493,497,475,521,477,480,481,489,458,509,493,495,491,496,481,520,502,503,496,503,489,523
스위스,-,-,-,-,480,510,535,518,-,-,482,517,536,523,514,509,484,515,544,524,520,512,481,520,537,524,518,512,491,527,527,515,508,502,480,505,519,512,495,495,469,500
영국,-,-,-,-,-,-,-,-,-,-,-,-,504,487,520,510,480,510,503,482,519,509,481,507,500,488,521,508,487,512,498,487,510,509,487,509,508,496,506,503,494,514
아프리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오스트레일리아,-,-,-,-,513,546,527,522,-,-,506,545,527,513,527,527,495,532,519,509,527,528,496,533,510,498,524,519,495,530,497,491,511,509,487,519,494,488,504,502,487,519
뉴질랜드,-,-,-,-,507,553,531,516,-,-,508,535,527,517,528,532,502,539,523,515,529,535,499,544,507,492,518,513,495,530,499,491,516,511,493,526,499,490,509,508,491,520
